Time,7sed_disp,voltmeter,silver_switch,cont dial,threestate,slight,rlight,glight
2020-05-24 00:14:53.274962,,[7.5],Off,[2.23576588],right,On,On,On
2020-05-24 00:14:53.574789,,[7.5],Off,[2.29385418],left,On,Off,Off
2020-05-24 00:14:53.940967,,[7.5],Off,[2.24796804],right,On,Off,Off
2020-05-24 00:14:54.338343,,[7.5],Off,[2.22492663],right,On,On,On
2020-05-24 00:14:54.632990,,[7.5],Off,[2.20926942],right,On,Off,Off
2020-05-24 00:14:55.016040,,[14.257236],Off,[2.25116327],left,Off,Off,Off
2020-05-24 00:14:55.392367,,[7.5],Off,[2.20926942],right,Off,Off,Off
2020-05-24 00:14:55.676457,,[7.5],Off,[2.25116327],right,On,Off,Off
2020-05-24 00:14:56.097639,,[7.5],Off,[2.25116327],left,On,On,On
2020-05-24 00:14:56.472479,,[15.],Off,[2.20926942],right,On,On,On
2020-05-24 00:14:56.776014,,[14.53874159],Off,[2.27674378],right,On,On,On
2020-05-24 00:14:57.211872,,[7.5],Off,[2.20926942],right,On,On,On
2020-05-24 00:14:57.592226,,[12.10873699],Off,[2.29385418],left,On,On,On
2020-05-24 00:14:57.889628,,[14.53874159],Off,[2.1666654],right,On,On,On
2020-05-24 00:14:58.272150,,[7.5],Off,[2.1666654],left,On,On,On
2020-05-24 00:14:58.704204,,[9.69225073],Off,[2.18995476],right,On,On,On
2020-05-24 00:14:59.089602,,[8.96835124],Off,[2.15798929],right,On,On,On
2020-05-24 00:14:59.563019,,[7.5],Off,[2.27509711],right,On,On,On
2020-05-24 00:14:59.953217,,[7.5],Off,[2.14933607],right,On,On,On
2020-05-24 00:15:00.274970,,[7.5],Off,[2.18995476],right,On,On,On
2020-05-24 00:15:00.677423,,[7.5],Off,[2.18829197],right,On,On,On
2020-05-24 00:15:01.074222,,[7.5],Off,[2.14933607],right,On,On,On
2020-05-24 00:15:01.365513,,[7.5],Off,[2.17347527],right,On,On,On
2020-05-24 00:15:01.717954,,[7.5],Off,[2.09808879],right,On,On,On
2020-05-24 00:15:02.133247,,[7.5],Off,[2.14952469],right,On,On,On
2020-05-24 00:15:02.457566,,[11.09848499],Off,[2.16169421],right,On,On,On
2020-05-24 00:15:02.844432,,[10.56495523],Off,[2.13459015],right,On,On,On
